07-Dec-19 17:16:11 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -73] is 0.629989
07-Dec-19 17:16:25 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -89] is 23.080116
07-Dec-19 17:16:25 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -90] is 23.526392
07-Dec-19 17:16:25 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -93] is 27.141184
07-Dec-19 17:16:27 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -68] is 0.198457
07-Dec-19 17:16:27 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -88] is 19.565395
07-Dec-19 17:16:28 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -89] is 20.089890
07-Dec-19 17:16:28 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -94] is 32.291107
07-Dec-19 17:16:30 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -67] is 0.157519
07-Dec-19 17:16:30 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -88] is 19.565395
07-Dec-19 17:16:31 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -94] is 32.291107
07-Dec-19 17:16:31 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -89] is 20.089890
07-Dec-19 17:16:33 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -93] is 44.692593
07-Dec-19 17:16:33 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -66] is 0.125026
07-Dec-19 17:16:33 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -86] is 12.509624
07-Dec-19 17:16:33 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -97] is 54.380772
07-Dec-19 17:16:36 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -89] is 23.080116
07-Dec-19 17:16:36 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -79] is 2.519613
07-Dec-19 17:16:36 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -93] is 37.782322
07-Dec-19 17:16:36 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -98] is 64.699287
07-Dec-19 17:16:39 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -81] is 3.999454
07-Dec-19 17:16:39 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -89] is 23.080116
07-Dec-19 17:16:39 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -92] is 32.263454
07-Dec-19 17:16:39 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -98] is 64.699287
