07-Dec-19 17:12:59 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -87] is 15.995628
07-Dec-19 17:13:18 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -87] is 16.585911
07-Dec-19 17:13:18 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -86] is 12.696028
07-Dec-19 17:13:19 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -86] is 12.509624
07-Dec-19 17:13:19 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -87] is 9.569822
07-Dec-19 17:13:21 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -93] is 63.973782
07-Dec-19 17:13:21 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -96] is 73.364105
07-Dec-19 17:13:22 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -92] is 32.263454
07-Dec-19 17:13:22 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -90] is 16.116337
07-Dec-19 17:13:25 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -94] is 80.600082
07-Dec-19 17:13:25 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -84] is 10.103951
07-Dec-19 17:13:25 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -90] is 23.526392
07-Dec-19 17:13:25 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -94] is 32.291107
07-Dec-19 17:13:29 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -86] is 12.696028
07-Dec-19 17:13:29 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -89] is 23.080116
07-Dec-19 17:13:29 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -88] is 17.155359
07-Dec-19 17:13:29 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -90] is 16.116337
07-Dec-19 17:13:32 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -70.000000, C: 1.393740, Rx: -95] is 62.191952
07-Dec-19 17:13:32 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -75.000000, C: 0.996677, Rx: -91] is 40.302792
07-Dec-19 17:13:33 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -70.000000, C: 1.458199, Rx: -94] is 44.245224
07-Dec-19 17:13:33 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -74.000000, C: 1.325308, Rx: -93] is 27.141184
